X914.99 Y-221.53
X912.01 Y-221.62
X908.97 Y-221.64
X905.99 Y-221.66
X902.94 Y-221.74
X899.96 Y-221.77
X896.85 Y-221.79
X893.94 Y-221.81
X890.9 Y-221.83
X887.92 Y-221.78
X884.88 Y-221.74
X881.9 Y-221.82
X878.85 Y-221.97
X875.87 Y-221.93
X872.9 Y-221.88
X869.85 Y-221.91
X866.88 Y-221.79
X863.84 Y-221.81
X860.86 Y-221.83
X857.81 Y-221.85
X854.84 Y-221.81
X851.73 Y-221.82
X848.82 Y-221.79
X845.77 Y-221.8
X842.8 Y-221.76
X839.75 Y-221.77
X836.78 Y-221.8
X833.73 Y-221.82
X830.75 Y-221.84
X827.71 Y-221.86
X824.73 Y-221.81
X821.69 Y-221.77
X818.72 Y-221.72
X815.67 Y-221.74
X812.69 Y-221.75
X809.58 Y-221.78
X806.67 Y-221.74
X803.63 Y-221.82
X800.65 Y-221.84
X797.6 Y-221.86
X794.63 Y-221.82
X791.65 Y-221.77
X788.61 Y-221.79
X785.56 Y-221.81
X782.58 Y-221.89
X779.54 Y-221.92
X776.56 Y-221.87
X773.52 Y-221.89
X770.54 Y-221.91
X767.5 Y-221.93
X764.52 Y-221.89
X761.48 Y-221.84
X758.5 Y-221.8
X755.46 Y-221.81
X752.49 Y-221.77
X749.37 Y-221.78
X746.47 Y-221.74
X743.35 Y-221.83
X740.44 Y-221.85
X737.46 Y-221.81
X734.42 Y-221.75
X731.44 Y-221.78
X728.4 Y-221.79
X725.36 Y-221.75
X722.38 Y-221.77
X719.4 Y-221.79
X716.36 Y-221.75
X713.38 Y-221.83
X710.34 Y-221.85
X707.36 Y-221.8
X704.32 Y-221.83
X701.34 Y-221.79
X698.3 Y-221.73
X695.32 Y-221.76
X692.27 Y-221.84
X689.29 Y-221.93
X686.25 Y-221.88
X683.27 Y-221.9
X680.23 Y-221.86
X677.25 Y-221.88
X674.21 Y-221.9
X671.23 Y-221.91
X668.19 Y-221.94
X665.21 Y-221.89
X662.17 Y-221.91
X659.19 Y-221.93
X656.14 Y-221.95
X653.17 Y-221.91
X650.13 Y-221.92
X647.15 Y-221.95
X644.1 Y-221.96
X641.13 Y-221.92
X638.08 Y-221.93
X635.1 Y-221.96
X632.06 Y-221.98
X629.08 Y-222.0
X626.1 Y-222.02
X623.06 Y-221.97
X620.02 Y-221.93
X617.04 Y-221.95
X614.0 Y-221.9
X611.03 Y-221.8
X607.99 Y-221.61
X607.79 Y-221.6
