X984.97 Y-201.49
X982.43 Y-199.9
X979.87 Y-198.32
X977.3 Y-196.77
X974.72 Y-195.24
X972.17 Y-193.67
X969.59 Y-192.14
X966.98 Y-190.65
X964.4 Y-189.13
X961.77 Y-187.68
X959.14 Y-186.23
X956.49 Y-184.84
X953.84 Y-183.43
X951.18 Y-182.03
X948.53 Y-180.63
X945.83 Y-179.32
X943.13 Y-178.01
X940.41 Y-176.75
X937.72 Y-175.43
X934.97 Y-174.23
X932.21 Y-173.06
X929.45 Y-171.88
X926.67 Y-170.75
X923.87 Y-169.66
X921.07 Y-168.6
X918.26 Y-167.53
X915.43 Y-166.55
X912.59 Y-165.57
X909.74 Y-164.65
X906.89 Y-163.72
X904.02 Y-162.82
X901.15 Y-161.96
X898.27 Y-161.12
X895.38 Y-160.31
X892.48 Y-159.54
X889.59 Y-158.75
X886.68 Y-158.03
X883.76 Y-157.32
X880.85 Y-156.6
X877.92 Y-155.94
X874.99 Y-155.29
X872.07 Y-154.63
X869.14 Y-153.97
X866.19 Y-153.4
X863.25 Y-152.8
X860.3 Y-152.29
X857.36 Y-151.71
X854.41 Y-151.12
X851.46 Y-150.6
X848.49 Y-150.15
X845.54 Y-149.63
X842.57 Y-149.17
X839.61 Y-148.73
X836.64 Y-148.28
X833.68 Y-147.82
X830.7 Y-147.43
X827.73 Y-146.99
X824.77 Y-146.54
X821.79 Y-146.15
X818.83 Y-145.69
X815.86 Y-145.25
X812.89 Y-144.86
X809.91 Y-144.48
X806.93 Y-144.1
X803.96 Y-143.71
X800.98 Y-143.39
X797.99 Y-143.08
X795.02 Y-142.68
X792.04 Y-142.36
X789.06 Y-141.98
X786.08 Y-141.66
X783.09 Y-141.41
X780.1 Y-141.16
X777.12 Y-140.84
X774.13 Y-140.59
X771.13 Y-140.4
X768.14 Y-140.15
X765.15 Y-139.9
X762.16 Y-139.72
X759.16 Y-139.6
X756.19 Y-139.21
X753.21 Y-138.83
X750.22 Y-138.58
X747.22 Y-138.53
X744.22 Y-138.47
X741.22 Y-138.36
X738.22 Y-138.37
X735.23 Y-138.45
X732.23 Y-138.66
X729.25 Y-138.95
X726.27 Y-139.3
X723.3 Y-139.72
X720.35 Y-140.26
X717.41 Y-140.88
X714.45 Y-141.37
X711.51 Y-141.98
X708.61 Y-142.72
X705.67 Y-143.35
X702.75 Y-144.03
X699.82 Y-144.67
X696.88 Y-145.28
X693.95 Y-145.9
X691.0 Y-146.45
X688.04 Y-146.95
X685.08 Y-147.42
X682.11 Y-147.85
X679.14 Y-148.27
X676.16 Y-148.62
X673.18 Y-148.96
X670.19 Y-149.25
X667.2 Y-149.47
X664.21 Y-149.75
X661.23 Y-150.04
X658.24 Y-150.32
X655.26 Y-150.67
X652.28 Y-151.01
X649.31 Y-151.44
X646.36 Y-151.99
X643.43 Y-152.61
X640.54 Y-153.41
X637.67 Y-154.3
X634.87 Y-155.38
X632.08 Y-156.49
X629.34 Y-157.7
X626.65 Y-159.04
X623.93 Y-160.29
X621.16 Y-161.45
X618.41 Y-162.65
X615.67 Y-163.87
X612.97 Y-165.17
X610.17 Y-166.27
X607.34 Y-167.24
X604.49 Y-168.19
X601.62 Y-169.07
X598.73 Y-169.84
X595.84 Y-170.65
X592.93 Y-171.41
X589.97 Y-171.9
X586.98 Y-172.06
X584.1 Y-172.92
X581.61 Y-174.6
X579.39 Y-176.61
X577.15 Y-178.6
X574.57 Y-180.13
X571.62 Y-180.68
X568.62 Y-180.65
X565.67 Y-181.19
X563.06 Y-182.67
X560.75 Y-184.58
X558.56 Y-186.64
X556.26 Y-188.56
X553.59 Y-189.93
X550.62 Y-190.36
X547.64 Y-190.65
X544.76 Y-191.52
X542.31 Y-193.24
X540.21 Y-195.38
X538.19 Y-197.6
X535.84 Y-199.46
X532.9 Y-200.1
