X984.94 Y-202.9
X982.37 Y-201.34
X979.82 Y-199.77
X977.26 Y-198.2
X974.7 Y-196.64
X972.14 Y-195.07
X969.56 Y-193.55
X966.96 Y-192.05
X964.33 Y-190.6
X961.72 Y-189.13
X959.09 Y-187.69
X956.46 Y-186.24
X953.79 Y-184.88
X951.13 Y-183.49
X948.46 Y-182.11
X945.77 Y-180.78
X943.05 Y-179.52
X940.34 Y-178.23
X937.62 Y-176.97
X934.87 Y-175.77
X932.11 Y-174.59
X929.35 Y-173.41
X926.57 Y-172.29
X923.79 Y-171.17
X920.98 Y-170.12
X918.17 Y-169.06
X915.36 Y-168.02
X912.52 Y-167.04
X909.69 Y-166.06
X906.81 Y-165.2
X903.96 Y-164.27
X901.08 Y-163.43
X898.2 Y-162.57
X895.31 Y-161.79
X892.41 Y-161.01
X889.52 Y-160.21
X886.61 Y-159.5
X883.69 Y-158.78
X880.78 Y-158.06
X877.87 Y-157.34
X874.93 Y-156.76
X872.0 Y-156.1
X869.07 Y-155.45
X866.13 Y-154.87
X863.19 Y-154.28
X860.23 Y-153.75
X857.28 Y-153.25
X854.33 Y-152.65
X851.38 Y-152.14
X848.42 Y-151.62
X845.47 Y-151.1
X842.5 Y-150.65
X839.54 Y-150.2
X836.57 Y-149.74
X833.61 Y-149.29
X830.64 Y-148.85
X827.67 Y-148.46
X824.7 Y-148.0
X821.73 Y-147.55
X818.76 Y-147.16
X815.78 Y-146.79
X812.81 Y-146.4
X809.84 Y-145.95
X806.87 Y-145.56
X803.88 Y-145.24
X800.9 Y-144.92
X797.93 Y-144.48
X794.96 Y-144.1
X791.98 Y-143.77
X788.99 Y-143.45
X786.02 Y-143.07
X783.03 Y-142.76
X780.04 Y-142.56
X777.06 Y-142.25
X774.07 Y-141.99
X771.07 Y-141.81
X768.09 Y-141.49
X765.09 Y-141.37
X762.1 Y-141.19
X759.11 Y-140.94
X756.13 Y-140.62
X753.14 Y-140.37
X750.15 Y-140.11
X747.15 Y-140.0
X744.15 Y-139.88
X741.15 Y-139.83
X738.15 Y-139.84
X735.15 Y-139.92
X732.16 Y-140.13
X729.18 Y-140.47
X726.2 Y-140.84
X723.24 Y-141.31
X720.28 Y-141.81
X717.33 Y-142.36
X714.39 Y-142.96
X711.46 Y-143.6
X708.54 Y-144.27
X705.6 Y-144.9
X702.68 Y-145.58
X699.75 Y-146.21
X696.81 Y-146.82
X693.88 Y-147.45
X690.92 Y-147.92
X687.97 Y-148.47
X685.01 Y-148.96
X682.03 Y-149.32
X679.06 Y-149.74
X676.08 Y-150.08
X673.09 Y-150.37
X670.11 Y-150.65
X667.11 Y-150.87
X664.13 Y-151.16
X661.14 Y-151.37
X658.15 Y-151.72
X655.17 Y-152.01
X652.18 Y-152.29
X649.22 Y-152.78
X646.28 Y-153.38
X643.36 Y-154.07
X640.48 Y-154.89
X637.63 Y-155.84
X634.85 Y-156.97
X632.09 Y-158.14
X629.39 Y-159.44
X626.67 Y-160.72
X623.93 Y-161.94
X621.19 Y-163.16
X618.47 Y-164.42
X615.73 Y-165.64
X612.96 Y-166.78
X610.14 Y-167.81
X607.32 Y-168.84
X604.45 Y-169.73
X601.55 Y-170.48
X598.63 Y-171.18
X595.74 Y-171.98
X592.81 Y-172.61
X589.82 Y-172.84
X586.86 Y-173.33
X584.23 Y-174.77
X581.96 Y-176.74
X579.78 Y-178.79
X577.34 Y-180.54
X574.49 Y-181.47
X571.49 Y-181.5
X568.49 Y-181.58
X565.73 Y-182.77
X563.39 Y-184.64
X561.23 Y-186.73
X559.02 Y-188.76
X556.48 Y-190.35
X553.57 Y-191.08
X550.58 Y-191.31
X547.64 Y-191.93
X545.06 Y-193.45
X542.92 Y-195.55
X540.94 Y-197.81
X538.74 Y-199.84
X536.27 Y-201.54
